新二级类型标签	行政区	派出所	具体位置描述	楼栋编码
住宅	南山	塘朗所	深大丽湖校区三角梅	4403050080022600037
住宅	南山	塘朗所	深大丽湖校区青冈栎	4403050080022600038
住宅	南山	塘朗所	深大丽湖校区梧桐树	4403050080022600039
住宅	南山	塘朗所	深大丽湖校区风信子	4403050080031100006
住宅	南山	塘朗所	深大丽湖校区胡杨林	4403050080031100007
住宅	南山	塘朗所	华晖云门1栋	4403050080031900002
住宅	南山	塘朗所	华晖云门2栋	4403050080031900003
住宅	南山	塘朗所	华晖云门3栋	4403050080031900004
住宅	南山	塘朗所	华晖云门4栋	4403050080031900007
住宅	南山	塘朗所	朗麓家园14栋A栋	4403050080032000055
住宅	南山	塘朗所	朗麓家园17栋	4403050080032000056
不住人	南山	塘朗所	宝能城花园东区华佳公寓	4403050080032000058
住宅	南山	塘朗所	宝能城花园东区B2栋	4403050080032000059
住宅	南山	塘朗所	宝能城花园东区F栋	4403050080032100002
住宅	南山	塘朗所	宝能城花园东区G栋	4403050080032300025
住宅	南山	塘朗所	塘朗城B栋	4403050080032300026
住宅	南山	塘朗所	朗麓家园13栋	4403050080032400001
住宅	南山	塘朗所	朗麓家园14栋	4403050080032400002
住宅	南山	塘朗所	朗麓家园15栋	4403050080032400004
住宅	南山	塘朗所	崇文花园1栋	4403050080080800019
住宅	南山	塘朗所	崇文花园12栋	4403050080080800025
住宅	南山	塘朗所	崇文花园2栋	4403050080080800041
公寓	南山	塘朗所	集悦城A区4A栋	4403050080081200018
公寓	南山	塘朗所	右侧维也纳好眠国际酒店	4403050080081700026
住宅	南山	塘朗所	朗麓家园9栋	4403050080081700035
住宅	南山	塘朗所	朗麓家园10栋	4403050080081700036
住宅	南山	塘朗所	深铁阅山境3栋	4403050080081700042
住宅	南山	塘朗所	深铁阅山境2栋	4403050080081700045
住宅	南山	桃源所	香瑞园4栋	4403050080090100008
住宅	南山	桃源所	岚峰苑2栋	4403050080090800016
住宅	南山	桃源所	龙珠军苑A,B栋	4403050080090800017
住宅	南山	桃源所	龙珠军苑C栋	4403050080090800018
住宅	南山	桃源所	桃源村三期1栋F座	4403050080091700008
住宅	宝安	黄田所	草围三路16号	4403060010010500049
公寓	宝安	航城所	安翼嘉寓2栋	4403060010011100037
公寓	宝安	航城所	安翼嘉寓3栋	4403060010011100038
公寓	宝安	航城所	安翼嘉寓4栋	4403060010011100039
公寓	宝安	航城所	安翼嘉寓5栋	4403060010011100040
公寓	宝安	航城所	安翼嘉寓6栋	4403060010011100041
住宅	宝安	黄田所	航空路16号（石洲果园1号）	4403060010011200021
住宅	宝安	黄田所	盛合天宸1栋	4403060010011200023
住宅	宝安	黄田所	盛合天宸2栋	4403060010011200024
住宅	宝安	黄田所	盛合天宸3栋	4403060010011200025
住宅	宝安	黄田所	盛合天宸4栋	4403060010011200026
住宅	宝安	流塘所	越秀和樾府10栋	4403060010031200046
住宅	宝安	流塘所	越秀和樾府1栋	4403060010031200052
住宅	宝安	流塘所	安居鸿栖台5栋	4403060010031200059
住宅	宝安	流塘所	安居鸿栖台6栋	4403060010031200060
住宅	宝安	流塘所	安居鸿栖台7栋	4403060010031200061
住宅	宝安	流塘所	安居鸿栖台8栋	4403060010031200062
住宅	宝安	共乐所	玉湖湾花园2栋	4403060010042200022
住宅	宝安	共乐所	华丰前海湾一期A栋	4403060010042600022
住宅	宝安	共乐所	越秀潮樾府1栋1单元	4403060010042600034
住宅	宝安	共乐所	华丰前海湾二期A栋	4403060010042900007
住宅	宝安	共乐所	华丰前海湾二期B栋	4403060010042900008
住宅	宝安	共乐所	富通城三期4A栋	4403060010043100009
住宅	宝安	共乐所	富通城四期11栋	4403060010043100010
住宅	宝安	共乐所	富通城四期10栋	4403060010043100011
住宅	宝安	共乐所	富通城三期5栋	4403060010043100013
住宅	宝安	共乐所	富通城四期12栋	4403060010043100014
住宅	宝安	共乐所	富通城三期A栋	4403060010043100034
住宅	宝安	共乐所	富通城三期6栋	4403060010043400023
住宅	宝安	共乐所	富通城三期7栋	4403060010043400024
住宅	宝安	共乐所	富通城三期8栋	4403060010043400025
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区A1-1	4403060010043500040
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区A3-1栋	4403060010043500042
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区A5-1	4403060010043500044
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区A7-1	4403060010043500046
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区C3栋	4403060010043500053
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区C4栋	4403060010043500054
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区E2-2单元	4403060010043500067
住宅	宝安	西乡所	铲岛路1号绿海名居小区6栋	4403060010043500071
住宅	宝安	西乡所	铲岛路1号绿海名居小区5栋（AB单元）	4403060010043500072
住宅	宝安	西乡所	铲岛路1号绿海名居小区3栋	4403060010043500074
住宅	宝安	西乡所	铲岛路1号绿海名居小区1栋（ABC单元）	4403060010043500077
住宅	宝安	西乡所	铲岛路1号绿海名居小区2栋（ABC单元）	4403060010043500078
住宅	宝安	西乡所	辅四路与辅七路交汇处前海铂寓2栋	4403060010043700052
住宅	宝安	西乡所	辅四路与辅七路交汇处前海铂寓3栋	4403060010043700053
住宅	宝安	西乡所	坪洲新村三期3栋	4403060010043900012
住宅	宝安	西乡所	坪洲新村三期5栋	4403060010043900013
住宅	宝安	西乡所	坪洲新村三期4栋	4403060010043900016
住宅	宝安	西乡所	坪洲新村二期4栋	4403060010043900017
住宅	宝安	西乡所	坪洲新村二期5栋	4403060010043900018
住宅	宝安	西乡所	坪洲新村二期12栋	4403060010043900021
住宅	宝安	西乡所	坪洲新村二期13栋	4403060010043900022
住宅	宝安	西乡所	坪洲新村二期10栋	4403060010043900024
住宅	宝安	西乡所	坪洲新村二期7栋	4403060010043900025
住宅	宝安	西乡所	坪洲新村二期3栋	4403060010043900026
住宅	宝安	西乡所	坪洲新村二期8栋	4403060010043900029
住宅	宝安	西乡所	坪洲新村二期9栋	4403060010043900030
住宅	宝安	西乡所	海城路259号坪洲新村一期7栋	4403060010044200004
住宅	宝安	西乡所	海城路259号坪洲新村一期2-3	4403060010044200005
住宅	宝安	西乡所	海城路259号坪洲新村一期6栋	4403060010044200006
住宅	宝安	西乡所	海城路259号坪洲新村一期5栋	4403060010044200007
住宅	宝安	西乡所	海城路259号坪洲新村一期4栋	4403060010044200008
住宅	宝安	西乡所	海城路259号坪洲新村一期3栋	4403060010044200009
住宅	宝安	黄田所	领丽花园C栋	4403060010070200002
住宅	宝安	黄田所	领丽花园A栋二单元	4403060010070200003
住宅	宝安	黄田所	领翔华府1栋	4403060010070300060
住宅	宝安	黄田所	三围工业路29号B栋明伟公寓	4403060010070400037
住宅	宝安	黄田所	领誉华府9栋	4403060010070700009
住宅	宝安	黄田所	内环路同富裕工业园茶树A栋宿舍	4403060010071300004
住宅	宝安	黄田所	雅居苑A栋1单元	4403060010071300025
住宅	宝安	黄田所	景福工业区E栋	4403060010071700015
商业办公	宝安	黄田所	上合中集空天产业园E栋	4403060010071700086
住宅	宝安	鹤洲所	保罗工业区4栋	4403060010110200015
住宅	宝安	鹤洲所	保罗工业区7栋	4403060010110200016
住宅	宝安	鹤洲所	保罗工业区8栋	4403060010110200019
住宅	宝安	鹤洲所	保罗工业区6栋	4403060010110200021
住宅	宝安	鹤洲所	保罗小区4栋	4403060010110200040
住宅	宝安	鹤洲所	保罗小区5栋	4403060010110200041
住宅	宝安	鹤洲所	保罗小区3栋	4403060010110200042
住宅	宝安	鹤洲所	保罗小区1栋	4403060010110200064
住宅	宝安	鹤洲所	保罗小区6栋	4403060010110200069
住宅	宝安	鹤洲所	保罗小区10栋	4403060010110200074
住宅	宝安	鹤洲所	保罗小区9栋	4403060010110200075
住宅	宝安	鹤洲所	鹤洲新村11巷5号4栋	4403060010110400001
住宅	宝安	鹤洲所	鹤洲新村11巷2号	4403060010110400020
住宅	宝安	鹤洲所	鹤洲新村9巷1号	4403060010110400030
住宅	宝安	鹤洲所	鹤洲新村9巷3号	4403060010110400033
住宅	宝安	鹤洲所	鹤洲新村8巷1号	4403060010110400038
住宅	宝安	鹤洲所	鹤洲新村7巷4号	4403060010110400048
住宅	宝安	鹤洲所	鹤洲新村5巷1号	4403060010110400061
住宅	宝安	鹤洲所	鹤洲新村5巷6号	4403060010110400066
住宅	宝安	鹤洲所	鹤洲新村5巷8号	4403060010110400068
住宅	宝安	鹤洲所	鹤洲新村4巷1号	4403060010110400070
住宅	宝安	鹤洲所	鹤洲新村4巷2号	4403060010110400071
住宅	宝安	鹤洲所	鹤洲新村4巷4号	4403060010110400073
住宅	宝安	鹤洲所	鹤洲新村4巷5号	4403060010110400074
住宅	宝安	鹤洲所	鹤洲新村4巷7号	4403060010110400076
住宅	宝安	鹤洲所	鹤洲新村3巷1号	4403060010110400078
住宅	宝安	鹤洲所	鹤洲新村3巷2号	4403060010110400079
住宅	宝安	鹤洲所	鹤洲新村10巷1号	4403060010110400105
住宅	宝安	鹤洲所	鹤洲新村11巷5号2栋	4403060010110400107
住宅	宝安	鹤洲所	润科华府5B栋	4403060010110600093
住宅	宝安	鹤洲所	鹤洲西区13巷2号	4403060010110700018
住宅	宝安	鹤洲所	鹤洲旧村十巷10号	4403060010110700165
住宅	宝安	鹤洲所	鹤洲旧村一巷11号	4403060010110700263
住宅	宝安	鹤洲所	鹤洲旧村一巷5号	4403060010110700271
住宅	宝安	鹤洲所	鹤洲旧村一巷2号	4403060010110700275
住宅	宝安	鹤洲所	鹤洲东区商住楼1栋文明园	4403060010110800098
住宅	宝安	鹤洲所	鹤洲东区商住楼5栋	4403060010110800100
住宅	宝安	鹤洲所	鹤洲东区商住楼4栋	4403060010110800102
住宅	宝安	鹤洲所	南宝大厦鹤洲东区二巷12号	4403060010110800119
住宅	宝安	鹤洲所	润科华府7栋	4403060010110800121
住宅	宝安	黄田所	瑞祥公寓	4403060010120300238
住宅	宝安	黄田所	壹航城T2	4403060010120500005
住宅	宝安	黄田所	壹航城T3	4403060010120500009
住宅	宝安	黄田所	后瑞华庭1单元	4403060010120600100
公寓	宝安	黄田所	兰兹酒店	4403060010120800028
住宅	宝安	黄田所	泰福公寓	4403060010140200141
住宅	宝安	黄田所	后瑞村南一巷76号	4403060010140500117
住宅	宝安	黄田所	黄田实验学校教职工宿舍楼	4403060010141400015
住宅	宝安	鹤洲所	九围一路24号A栋	4403060010160500029
住宅	宝安	鹤洲所	九围一路24号B栋	4403060010160500032
住宅	宝安	鹤洲所	天润智能宿舍楼	4403060010160600180
住宅	宝安	鹤洲所	九围一路19号	4403060010160600214
住宅	宝安	鹤洲所	九围一路174号	4403060010160600304
住宅	宝安	鹤洲所	九围一路8号	4403060010160900120
住宅	宝安	鹤洲所	丁圳路17号	4403060010160900169
住宅	宝安	鹤洲所	聚宝工业区宿舍楼	4403060010160900208
住宅	宝安	鹤洲所	敏锐工业区4栋宿舍	4403060010160900281
住宅	宝安	鹤洲所	九围路211号	4403060010161000452
住宅	宝安	鹤洲所	九围路209号	4403060010161000488
住宅	宝安	鹤洲所	九围路191-1号	4403060010161200052
住宅	宝安	鹤洲所	九围路159号	4403060010161200082
商业办公	宝安	鹤洲所	洲石路556号	4403060010161200152
住宅	宝安	鹤洲所	九围新村一区4-1号	4403060010161200187
住宅	宝安	鹤洲所	九围路145-1号	4403060010161200246
住宅	宝安	鹤洲所	九围新村一区3号	4403060010161200250
住宅	宝安	鹤洲所	九围新村一区1-2号	4403060010161200251
住宅	宝安	鹤洲所	九围旧村十一巷5号	4403060010161200257
住宅	宝安	鹤洲所	九围路158号	4403060010161200258
住宅	宝安	鹤洲所	九围旧村十一巷1号	4403060010161200263
住宅	宝安	鹤洲所	九围路191-2号	4403060010161200266
住宅	宝安	鹤洲所	九围新村三区130号	4403060010161300276
住宅	宝安	鹤洲所	九围新村区117号	4403060010161300277
住宅	宝安	鹤洲所	强荣东工业区1号宿舍楼	4403060010161700074
住宅	宝安	鹤洲所	强荣东工业区 2号宿舍楼	4403060010161700082
住宅	宝安	鹤洲所	强荣东工业区 3 号宿舍楼	4403060010161700084
住宅	宝安	鹤洲所	富源工业城S11栋	4403060010161800066
住宅	宝安	鹤洲所	富源工业城S9栋	4403060010161800071
住宅	宝安	鹤洲所	华昌工业区10栋	4403060010161900013
住宅	宝安	鹤洲所	富源工业城S26栋	4403060010161900106
住宅	宝安	鹤洲所	富源工业城S2栋	4403060010162000003
住宅	宝安	鹤洲所	富源工业城S8栋	4403060010162000004
住宅	宝安	鹤洲所	富源工业城S4栋	4403060010162000006
住宅	宝安	鹤洲所	富源工业城S5栋	4403060010162000009
住宅	宝安	鹤洲所	富源工业城S6栋	4403060010162000010
住宅	宝安	鹤洲所	富源工业城S18栋	4403060010162000013
住宅	宝安	鹤洲所	富源工业城S14栋	4403060010162000025
住宅	宝安	鹤洲所	富源工业城S13栋	4403060010162000026
住宅	宝安	黄田所	天福华府B区B3栋	4403060010190700018
住宅	宝安	黄田所	天福华府A区A4栋	4403060010191100010
住宅	宝安	黄田所	三围北8巷18	4403060010250100129
住宅	宝安	黄田所	三围北路18号	4403060010250300038
住宅	宝安	黄田所	三围北9巷7号	4403060010250300099
住宅	宝安	黄田所	三围北10巷5号	4403060010250300188
商业办公	宝安	黄田所	东华制造园2期3栋	4403060010250500038
住宅	宝安	黄田所	东华智造园二期7栋宿舍楼	4403060010250500068
住宅	宝安	黄田所	汇庭居汇意阁	4403060010250500079
住宅	宝安	黄田所	雅庭苑1栋C单元	4403060010250500089
住宅	宝安	黄田所	雅庭苑2栋B单元	4403060010250500092
住宅	宝安	黄田所	三围中路2号	4403060010250600188
住宅	宝安	黄田所	三围南路2号	4403060010251200033
住宅	宝安	黄田所	三围工业路17号宿舍楼1栋（齐宇工业园）	4403060010251500013
住宅	宝安	黄田所	三围工业路25号伟志厂宿舍楼1	4403060010251500033
住宅	宝安	黄田所	三围工业路25号伟志厂宿舍楼4	4403060010251500034
住宅	宝安	黄田所	三围工业二路18号数核公寓	4403060010251600017
住宅	宝安	黄田所	三围工业二路16号学员公寓	4403060010251600019
住宅	宝安	流塘所	桃源居十七区1栋二单元	4403060010260100001
住宅	宝安	流塘所	桃源居十七区2栋一单元	4403060010260100002
住宅	宝安	流塘所	桃源居六区2栋1单元	4403060010260300003
住宅	宝安	流塘所	桃源居六区3栋1单元	4403060010260300004
住宅	宝安	流塘所	桃源居六区5栋三单元	4403060010260300005
住宅	宝安	流塘所	桃源居六区7栋1单元	4403060010260300007
住宅	宝安	流塘所	桃源居十六区26栋	4403060010260400001
住宅	宝安	流塘所	桃源居十六区28栋一单元	4403060010260400003
住宅	宝安	流塘所	桃源居十五区5栋一单元	4403060010260500002
住宅	宝安	流塘所	桃源居十五区9栋	4403060010260500005
住宅	宝安	流塘所	铁岗西五巷1号	4403060010270800013
住宅	宝安	流塘所	铁岗村13号A栋	4403060010270800132
住宅	宝安	流塘所	铁岗东一巷9号	4403060010270900006
住宅	宝安	流塘所	鸿鹏中心C栋	4403060010270900060
住宅	宝安	流塘所	铁岗大厦B座	4403060010271000090
住宅	宝安	西乡所	新安六路1050号海语西湾1栋	4403060010300300008
住宅	宝安	西乡所	新安六路1050号海语西湾5栋	4403060010300300009
住宅	宝安	西乡所	新安六路1050号海语西湾9栋	4403060010300300010
住宅	宝安	鹤洲所	鹤洲豪庭3C栋	4403060010310100036
住宅	宝安	鹤洲所	鹤洲豪庭2栋	4403060010310100037
住宅	宝安	鹤洲所	鹤洲豪庭1栋A单元	4403060010310100038
住宅	宝安	鹤洲所	深业U中心A栋	4403060010310400023
公寓	宝安	黄田所	易尚三围2号楼	4403060010311600098
住宅	宝安	黄田所	云奕府3栋	4403060010311900142
住宅	宝安	黄田所	云奕府4栋	4403060010311900143
住宅	宝安	黄田所	星奕府3栋	4403060010311900145
住宅	宝安	黄田所	领秀花园F栋	4403060010312600086
住宅	宝安	黄田所	领誉华府10栋	4403060010312600094
住宅	宝安	黄田所	领誉华府11栋	4403060010312600095
住宅	宝安	黄田所	领秀花园G栋	4403060010313000001
住宅	宝安	黄田所	领秀花园H栋	4403060010313000002
住宅	宝安	黄田所	领秀花园I栋	4403060010313000003
住宅	宝安	黄田所	领秀花园J栋	4403060010313000004
住宅	宝安	黄田所	领秀花园K栋	4403060010313000005
住宅	宝安	黄田所	领秀花园L栋	4403060010313000006
住宅	宝安	福永所	兴华路2号星航华府C1	4403060020070700015
商业办公	宝安	福永所	福永街道兴围社区兴华路2号星航中心	4403060020070700025
住宅	宝安	福永所	金荔路667号空港花园8栋	4403060020070700030
住宅	宝安	福永所	金荔路667号空港花园6栋	4403060020070700031
住宅	宝安	福永所	金荔路667号空港花园5栋	4403060020070700032
住宅	宝安	福永所	金荔路667号空港花园7栋	4403060020070700034
住宅	宝安	福永所	金荔路667号空港花园4栋	4403060020070700035
住宅	宝安	福永所	金荔路667号空港花园9栋	4403060020070700036
住宅	宝安	航城所	深航东区B20公寓	4403060020071200043
住宅	宝安	福永所	兴围新三巷1-1号	4403060020130200140
住宅	宝安	福永所	兴中路8号（网格系统地址：兴围社区第一工业区3号B栋）	4403060020130200220
住宅	宝安	福永所	兴围新五巷1号	4403060020130200248
住宅	宝安	福永所	兴围新四巷1号	4403060020130200252
住宅	宝安	福永所	兴围新二巷16-1号	4403060020130200299
住宅	宝安	福永所	兴围中路9号兴围华府3栋	4403060020130200323
住宅	宝安	福永所	兴围中路9号兴围华府1栋	4403060020130200325
住宅	宝安	福永所	兴围西四巷15号	4403060020130300041
住宅	宝安	福永所	宝安大道6020号	4403060020130300360
住宅	宝安	福永所	兴围西四巷11号	4403060020130300376
住宅	宝安	塘头所	嘉利大厦	4403060060072400088
住宅	龙华	民治所	樟坑二区60栋	4403060090012500022
住宅	龙华	民治所	樟坑二区37栋	4403060090012500033
住宅	龙华	民治所	樟坑二区6栋	4403060090012500109
公寓	龙华	民新所	创业花园248,249.250栋（连体）	4403060096010600248
住宅	龙华	民新所	汇德大厦3号楼（公寓）	4403060096010600270
公寓	龙华	民新所	华侨城创想大厦1栋	4403060096010600302
公寓	龙华	民新所	鸿荣源公寓D栋	4403060096010600307
住宅	龙华	民新所	中海学仕里3栋	4403060096010600316
住宅	龙华	民新所	中海学仕里4栋	4403060096010600317
住宅	龙华	民新所	中海学仕里1栋	4403060096010600318
住宅	龙华	民新所	中海学仕里2栋	4403060096010600319
住宅	龙华	民新所	白石龙老村29栋	4403060096010700037
住宅	龙华	民新所	白石龙老村41栋	4403060096010700048
住宅	龙华	民新所	白石龙老村43栋	4403060096010700308
住宅	龙华	民新所	白石龙老村35栋	4403060096010700371
商业办公	龙华	民新所	汇隆中心北塔	4403060096010700405
工地	龙华	民新所	超核万象中心	4403060096010700421
住宅	龙华	民新所	保利招商龙誉花园一期3栋	4403060096010700425
住宅	龙华	民新所	保利招商龙誉花园一期1栋	4403060096010700433
住宅	龙华	民新所	圣莫丽斯C区9栋	4403060096010800014
住宅	龙华	民新所	圣莫丽斯C区10栋	4403060096010800015
住宅	龙华	民新所	龙悦居三期1栋	4403060096010800224
住宅	龙华	民新所	龙悦居三期2栋	4403060096010800225
住宅	龙华	民新所	龙悦居三期3栋	4403060096010800226
住宅	龙华	民新所	龙悦居三期4栋	4403060096010800227
住宅	龙华	民新所	龙悦居三期5栋	4403060096010800228
住宅	龙华	民新所	龙悦居三期6栋	4403060096010800229
住宅	龙华	民新所	龙悦居二期1栋	4403060096010800282
住宅	龙华	民新所	龙悦居二期2栋	4403060096010800283
住宅	龙华	民新所	龙悦居二期3栋	4403060096010800284
住宅	龙华	民新所	龙悦居二期4栋	4403060096010800285
住宅	龙华	民新所	龙悦居二期5栋	4403060096010800286
住宅	龙华	民新所	龙悦居二期6栋	4403060096010800287
住宅	龙华	民新所	龙悦居一期A栋	4403060096010800288
住宅	龙华	民新所	龙悦居一期B栋	4403060096010800289
住宅	龙华	民新所	龙悦居一期C栋	4403060096010800290
住宅	龙华	民新所	龙悦居一期D栋	4403060096010800291
住宅	龙华	民新所	龙悦居四期1栋	4403060096010800295
住宅	龙华	民新所	龙悦居四期2栋	4403060096010800296
住宅	龙华	民新所	龙悦居四期3栋	4403060096010800297
住宅	龙华	民新所	龙悦居四期4栋	4403060096010800298
住宅	龙华	民新所	龙悦居四期5栋	4403060096010800299
住宅	龙华	民新所	龙悦居四期6栋	4403060096010800300
住宅	龙华	民新所	龙悦居四期7栋	4403060096010800301
住宅	龙华	民新所	龙悦居四期8栋	4403060096010800302
住宅	龙华	民新所	龙悦居四期9栋	4403060096010800303
住宅	龙华	民新所	龙悦居四期10A栋	4403060096010800304
住宅	龙华	民新所	龙悦居四期10B栋	4403060096010800305
住宅	龙华	民新所	金众金域阁	4403060096010800341
商业办公	龙华	民新所	龙华高级中学师生宿舍	4403060096010800355
住宅	宝安	镇南所	大宝路47号2栋鸿钦宿舍楼	4403060110040500022
住宅	宝安	镇南所	大宝路45号风采轩花园6栋	4403060110040800008
住宅	宝安	镇南所	大宝路43号威豹押运	4403060110040800010
住宅	宝安	翻身所	怡景花苑副楼	4403060110060500077
住宅	宝安	翻身所	好望角B2栋	4403060110090100013
住宅	宝安	翻身所	深业新岸线2号楼B座	4403060110100700012
住宅	宝安	翻身所	假日名居1栋	4403060110100900156
住宅	宝安	翻身所	假日名居2栋	4403060110100900157
住宅	宝安	翻身所	假日名居3栋	4403060110100900158
住宅	宝安	翻身所	假日名居8栋	4403060110100900159
住宅	宝安	翻身所	假日名居9栋	4403060110100900160
住宅	宝安	翻身所	假日名居10栋	4403060110100900161
住宅	宝安	翻身所	假日名居4栋	4403060110100900171
商业办公	宝安	翻身所	新乐消防救援站	4403060110100900180
住宅	宝安	翻身所	高发西岸花园1栋1B	4403060110101000001
工地	宝安	翻身所	裕安一路西延工程项目部	44030601101010T0065
住宅	宝安	镇南所	佳华书苑书雅阁	4403060110110200022
不住人	宝安	镇南所	宝安中学高中部工地	44030601101103T0008
住宅	宝安	上川所	深圳市宝安区大宝路83号美生慧谷科技园7栋（33区大宝路83号旁05A栋）	4403060110160200051
住宅	宝安	镇南所	中粮创芯研发中心5栋	4403060110221800020
住宅	宝安	镇南所	信义领御研发中心2栋	4403060110221900014
住宅	宝安	镇南所	信义领御研发中心3栋	4403060110221900015
住宅	罗湖	口岸所	渔景大厦	4403030020130100001
住宅	罗湖	桂园所	荔景大厦	4403030030060800005
住宅	福田	福田所	中海华庭华景轩3座、5座	4403040030011900006
不住人	福田	天安所	福田汽车站交通枢纽	4403040040030100001
商业办公	福田	天安所	福安大厦	4403040040030100003
住宅	福田	沙头所	金地环湾城T9栋	4403040040040900027
商业办公	福田	天安所	天安数码时代大厦A座	4403040040100100003
住宅	福田	天安所	天安高尔夫花园丽景阁	4403040040101000003
住宅	福田	天安所	天安高尔夫花园雅景阁	4403040040101000005
商业办公	福田	天安所	天吉大厦	4403040040101900001
商业办公	福田	天安所	天经大厦	4403040040101900003
住宅	福田	天安所	庆泰公寓	4403040040102800010
住宅	福田	沙头所	润福园AB栋	4403040040120300005
住宅	福田	天安所	趣园	4403040040130700036
住宅	福田	梅林所	梅林街道莲塘尾3路6号山语清晖9栋	4403040058010100040
住宅	福田	梅林所	梅林街道莲塘尾3路6号山语清晖8栋	4403040058010100042
住宅	福田	华富所	莲花一村11栋	4403040060050500022
住宅	福田	华富所	莲花一村35栋	4403040060050500037
住宅	福田	华富所	莲花一村37栋	4403040060050500040
住宅	福田	华富所	莲花一村41栋	4403040060050500044
住宅	福田	华富所	莲花一村42栋	4403040060050500045
商业办公	福田	华富所	莲花一村社区莲心路6号	4403040060050500051
住宅	福田	华富所	莲花一村5栋	4403040060050500053
住宅	福田	华富所	莲花一村49栋	4403040060050500056
住宅	福田	香蜜湖所	香荔绿洲6栋	4403040070010100011
住宅	福田	香蜜湖所	君豪阁	4403040070010100017
住宅	福田	香蜜湖所	天御香山7号楼	4403040070010500009
住宅	福田	香蜜湖所	香榭名园2栋	4403040070021500004
住宅	福田	香蜜湖所	香榭名园1栋	4403040070021500005
住宅	福田	香蜜湖所	香榭名园4栋	4403040070021500008
住宅	福田	香蜜湖所	金地香蜜山8栋	4403040070030300006
住宅	福田	香蜜湖所	香蜜湖瀚城5栋	4403040070050300003
住宅	福田	香蜜湖所	特发小区3栋	4403040070050400005
住宅	福田	香蜜湖所	特发小区8栋	4403040070050400013
住宅	福田	香蜜湖所	特发小区15栋	4403040070050400019
住宅	福田	香蜜湖所	特发小区20栋3单元	4403040070050400023
住宅	福田	香蜜湖所	豪峰园4栋	4403040070050700005
住宅	福田	香蜜湖所	豪峰园1栋	4403040070050700006
住宅	福田	香蜜湖所	香蜜湖第一生态苑华府5栋（华天阁）	4403040070060100005
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园21处（123-126号）123/125/126	4403040070060100012
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园20处（119-121号）119/120/121	4403040070060100016
住宅	福田	香蜜湖所	新天国际名苑C栋	4403040070060300006
住宅	福田	香蜜湖所	熙园1A栋	4403040070060600009
住宅	福田	香蜜湖所	水榭花都苏堤2排（12-21栋）	4403040070060700011
住宅	福田	香蜜湖所	水榭花都倚湖居3栋	4403040070060700013
住宅	福田	香蜜湖所	水榭花都倚湖居1栋	4403040070060700015
住宅	福田	香蜜湖所	香蜜湖度假村家属楼1栋	4403040070061400008
住宅	福田	香蜜湖所	香蜜湖度假村家属楼9栋	4403040070061400016
商业办公	福田	香蜜湖所	益华大厦	4403040070070600007
公寓	福田	香蜜湖所	东方银座酒店	4403040070070900009
商业办公	福田	香蜜湖所	中国电信	4403040070080800002
商业办公	福田	莲花所	深圳证券交易所	4403040080031200001
住宅	福田	景田所	景秀年华A，B栋	4403040080070300002
住宅	福田	景田所	安柏丽晶园3栋	4403040080100800003
住宅	福田	景田所	东方玫瑰花园7栋	4403040080100900005
住宅	南山	南山所	云海湾花园1栋E座	4403050010010300135
住宅	南山	南山所	云海湾花园1栋D座	4403050010010300137
商业办公	南山	南头所	南山工商物价大厦	4403050010051400012
住宅	南山	南头所	南龙苑A栋	4403050010060100003
住宅	南山	蛇口港所	前海天境花园5栋	4403050020063900010
住宅	南山	南山所	卓越前海壹号T4栋	4403050020120200007
住宅	南山	南山所	前海时代3栋	4403050020120200012
住宅	南山	南山所	前海时代4栋	4403050020120200014
住宅	南山	南山所	前海时代CEO公馆20栋A单元	4403050020120200024
住宅	南山	南山所	前海时代CEO公馆19栋B单元	4403050020120200032
住宅	南山	南山所	前海时代CEO公馆15栋B单元	4403050020120200035
商业办公	南山	西丽所	平山商业街2栋	4403050030110800017
住宅	南山	沙河所	深圳湾花园3栋	4403050040070400002
住宅	南山	沙河所	深圳湾花园2栋	4403050040070400003
住宅	南山	沙河所	深圳湾花园6栋	4403050040070400006
住宅	南山	沙河所	深圳湾花园8栋	4403050040070400008
住宅	南山	沙河所	下白石一坊3号	4403050040080300021
公寓	南山	粤海所	创智天地大厦	4403050070040900011
住宅	南山	塘朗所	荷园5栋	4403050080020300001
住宅	南山	塘朗所	荷园4栋	4403050080020300002
住宅	南山	塘朗所	汇城茗院1栋1单元	4403050080020500011
住宅	南山	塘朗所	汇城茗院2栋2单元	4403050080020500014
商业办公	南山	桃源所	深圳市疾病预防控制中心	4403050080090100024
住宅	南山	桃源所	陶然居小区1栋	4403050080092500006
住宅	宝安	黄田所	草围三路18号	4403060010010500078
住宅	宝安	黄田所	草围二路23号	4403060010010500082
公寓	宝安	航城所	安翼嘉寓1栋	4403060010011100036
住宅	宝安	流塘所	越秀和樾府12栋	4403060010031200047
住宅	宝安	流塘所	越秀和樾府11栋	4403060010031200048
